M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
96,7,21,0.013400000000000002,0.0024000000000000002,8.737961757847034e-05,0.7851360251052217
96,7,22,0.016133333333333336,0.0015333333333333338,0.00010533756697996635,0.7659904999202062
96,7,23,0.02153333333333334,0.0006666666666666668,0.00012506857360375663,0.7434016029293079
96,7,24,0.02633333333333334,0.0011333333333333334,0.00015549953022255612,0.722281135946427
96,7,25,0.03260000000000001,0.00046666666666666666,0.00017560138174846983,0.7016405516935589
96,7,26,0.04200000000000001,0.0004,0.00021442202244735046,0.67649314259417
96,7,27,0.052600000000000015,0.0002,0.00026036259887979573,0.6560081911765822
96,7,28,0.06086666666666669,0.00046666666666666666,0.00030269745086129203,0.6342904872540563
96,7,29,0.07333333333333333,0.00013333333333333334,0.0004030770959064468,0.6074215908674894
96,7,30,0.08313333333333334,0.00013333333333333334,0.0004735545899390164,0.5785413891720338
96,7,31,0.09933333333333333,6.666666666666667e-05,0.0005290873151090547,0.5560684715624884
96,7,32,0.11999999999999998,0.0002,0.0006474367751949761,0.526885313219436
96,7,33,0.137,0.00013333333333333334,0.0007949318538422912,0.5016071914750729
96,7,34,0.16179999999999997,0.0,0.000956249065889683,0.4728877522874197
96,7,35,0.18946666666666664,0.0,0.0011832821465207176,0.4492249539720943
96,7,36,0.20366666666666672,0.0,0.0013229600877017955,0.4142261220069783
96,7,37,0.23466666666666672,0.0,0.001667880555120629,0.39077170257604493
96,7,38,0.2733999999999999,0.0,0.0018997509139963152,0.36460996367246035
96,7,39,0.3000666666666667,0.0,0.002309777169658205,0.3362889584353642
96,7,40,0.3249999999999999,0.0,0.002668984821404512,0.3141171154018413
96,7,41,0.36380000000000007,0.0,0.0032274105292980867,0.2900323559437579
96,7,42,0.3947333333333332,0.0,0.003901505336141314,0.26460569072660006
96,7,43,0.4370666666666667,0.0,0.004347196163520079,0.24139326132109956
96,7,44,0.4747333333333333,0.0,0.005486709062864391,0.21772392585554165
96,7,45,0.5226,0.0,0.00660299492956343,0.19956729427756442
96,7,46,0.5522000000000001,0.0,0.007527495472521084,0.17752327550218022
96,7,47,0.5903333333333334,0.0,0.008918815512985446,0.16066479475991044
96,9,0,0.0,0.9054000000000001,3.2460856368331155e-06,0.9803784620101382
96,9,1,0.0,0.8371333333333336,2.8579443209193234e-06,0.9773044154035642
96,9,2,6.666666666666667e-05,0.7502666666666666,2.8874707715501477e-06,0.9745589059327419
96,9,3,0.0,0.6576666666666668,3.3692792456625124e-06,0.9710491029995062
96,9,4,0.0,0.5433333333333334,3.7050432818931394e-06,0.967217686388226
96,9,5,0.00013333333333333334,0.4407333333333335,4.299552399339398e-06,0.9629981447518347
96,9,6,0.0002666666666666667,0.34919999999999995,6.517312412857962e-06,0.9578880182692234
96,9,7,0.0002666666666666667,0.2651333333333334,7.198582035562327e-06,0.9535918044640881
96,9,8,0.00046666666666666666,0.18766666666666673,1.2139170032815036e-05,0.9470096218306613
96,9,9,0.0002,0.13946666666666668,1.260103296050894e-05,0.9405267474382346
96,9,10,0.001066666666666667,0.09573333333333335,1.689333287869798e-05,0.9333553392204147
96,9,11,0.0009333333333333334,0.06533333333333335,2.088046265270517e-05,0.9249668221543401
96,9,12,0.0015333333333333338,0.045600000000000016,2.1247633272475984e-05,0.9174730683949053
96,9,13,0.0020000000000000005,0.029600000000000005,2.6358452650096365e-05,0.9083221919800629
96,9,14,0.002800000000000001,0.018133333333333335,3.046944593838783e-05,0.899738309663933
96,9,15,0.0031333333333333343,0.0132,5.3298201129364964e-05,0.8863406015407258
96,9,16,0.0052000000000000015,0.007933333333333336,4.728578888570203e-05,0.8749138791330685
96,9,17,0.008000000000000002,0.007666666666666668,5.749179430421954e-05,0.8606457813458862
96,9,18,0.010000000000000004,0.004933333333333334,6.375006647033185e-05,0.8471861745277693
96,9,19,0.012000000000000004,0.0026,7.962858530631048e-05,0.8314601377134815
96,9,20,0.01486666666666667,0.0018666666666666666,9.615326528188631e-05,0.8158397419256743
96,9,21,0.01973333333333334,0.0018000000000000002,0.0001291299961603676,0.7983407226129958
96,9,22,0.02533333333333334,0.0011333333333333334,0.00013883939985775753,0.7805587709487496
96,9,23,0.027266666666666675,0.0008000000000000001,0.0001811892839504045,0.7616751612672675
96,9,24,0.03780000000000001,0.0005333333333333334,0.00023277125302945375,0.741388680445095
96,9,25,0.046600000000000016,0.0002,0.00026975759867695754,0.7198551146277282
96,9,26,0.05433333333333336,0.0002666666666666667,0.00029568699527292216,0.6980465185000064
96,9,27,0.06960000000000002,0.00013333333333333334,0.00036800367498837324,0.6742116641703068
96,9,28,0.08533333333333334,0.0002666666666666667,0.0004465956190558849,0.6478129834515529
96,9,29,0.10313333333333334,6.666666666666667e-05,0.00047594159240098316,0.6245821223927611
96,9,30,0.11780000000000003,0.00013333333333333334,0.0006753824518456121,0.5968938505267564
96,9,31,0.1342,0.0002666666666666667,0.0007791026762042977,0.572425629361071
96,9,32,0.15973333333333337,6.666666666666667e-05,0.0009166707525586572,0.5435713005694037
96,9,33,0.1786666666666667,0.0,0.001130009958697751,0.5147334373103382
96,9,34,0.20406666666666665,6.666666666666667e-05,0.0012924710037229617,0.484588029266023
96,9,35,0.22800000000000004,0.0,0.0015102370127050128,0.45660092841002065
96,9,36,0.25846666666666673,6.666666666666667e-05,0.001804489833937305,0.4294847188077598
96,9,37,0.2973333333333333,0.0,0.00228656686292458,0.4037122366454487
96,9,38,0.3256,0.0,0.002686967909582969,0.37390349970770825
96,9,39,0.3646666666666667,0.0,0.0033847504513369333,0.34379563394068596
96,9,40,0.39459999999999995,0.0,0.0036587781870316156,0.31821026420999055
96,9,41,0.43520000000000003,0.0,0.004235570544085794,0.292259314643312
96,9,42,0.4724666666666666,0.0,0.005353696009566742,0.2710818083056625
96,9,43,0.5132666666666665,0.0,0.006344267679331846,0.24522293373474113
96,9,44,0.5563999999999999,0.0,0.007326196806742559,0.21912369461699446
96,9,45,0.5969333333333335,0.0,0.008504318705921938,0.19815487742380775
96,9,46,0.6387333333333334,0.0,0.010454375986277204,0.1746946865379116
96,9,47,0.6731999999999999,0.0,0.012495814220197838,0.15836112488313542
96,11,0,0.0,0.8813333333333336,2.9932314488731768e-06,0.9735842935572075
96,11,1,0.0,0.7994666666666668,4.580334105152215e-06,0.9703419093913663
96,11,2,0.0,0.6979333333333334,4.293921431975922e-06,0.9652934138119239
96,11,3,0.0,0.5735333333333332,4.91110445367086e-06,0.9614900036275402
96,11,4,6.666666666666667e-05,0.47013333333333324,7.673542063626554e-06,0.9562340297417086
96,11,5,0.0002,0.36033333333333334,9.206828054426049e-06,0.9501994113567894
96,11,6,0.00013333333333333334,0.26326666666666665,8.434895471578201e-06,0.9444560084512027
96,11,7,0.0003333333333333333,0.19026666666666664,1.5424491242541132e-05,0.9386821881927685
96,11,8,0.0004,0.1347333333333333,1.4392860828401715e-05,0.9290840833842737
96,11,9,0.0008,0.08766666666666668,1.5196005155445664e-05,0.9215269186597005
96,11,10,0.0007333333333333333,0.06040000000000001,2.2110667493748893e-05,0.9121798206205067
96,11,11,0.001066666666666667,0.03826666666666668,2.6384646622362107e-05,0.9017398525595809
96,11,12,0.0014666666666666671,0.024466666666666675,3.4334074244235245e-05,0.8911437413797649
96,11,13,0.0022666666666666673,0.018133333333333335,3.5298859518165503e-05,0.879468087803089
96,11,14,0.0032666666666666677,0.010733333333333338,4.8028835560688945e-05,0.8682612186665364
