M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
96,7,4,0.0,0.99996
96,7,5,0.0,1.0
96,7,6,0.0,0.99992
96,7,7,0.0,0.9997999999999999
96,7,8,0.0,0.99988
96,7,9,0.0,0.99972
96,7,10,0.0,0.9997199999999999
96,7,11,0.0,0.9993999999999998
96,7,12,0.0,0.9991599999999998
96,7,13,0.0,0.9988399999999998
96,7,14,0.0,0.99816
96,7,15,0.0,0.9980399999999999
96,7,16,0.0,0.9974399999999999
96,7,17,0.0,0.99512
96,7,18,0.0,0.9945199999999998
96,7,19,0.0,0.9917999999999998
96,7,20,0.0,0.9898799999999998
96,7,21,0.0,0.9862799999999996
96,7,22,0.0,0.9829599999999998
96,7,23,0.0,0.9799199999999998
96,7,24,0.0,0.9733999999999996
96,7,25,0.0,0.96744
96,7,26,0.0,0.9595999999999997
96,7,27,0.0,0.9492400000000002
96,7,28,0.0,0.94072
96,7,29,0.0,0.9294800000000002
96,7,30,0.0,0.9183999999999998
96,7,31,0.0,0.90436
96,7,32,0.0,0.8872799999999998
96,7,33,0.0,0.8723599999999999
96,7,34,0.0,0.8528799999999999
96,7,35,0.0,0.8298800000000002
96,7,36,0.0,0.8125599999999997
96,7,37,0.0,0.79184
96,7,38,0.0,0.76388
96,7,39,0.0,0.7407999999999997
96,7,40,0.0,0.71096
96,7,41,0.0,0.6845599999999998
96,7,42,0.0,0.66012
96,7,43,0.0,0.6267199999999999
96,7,44,0.0,0.60112
96,7,45,0.0,0.5692799999999999
96,7,46,0.0,0.5511599999999999
96,7,47,0.0,0.50772
96,9,0,0.0,1.0
96,9,1,0.0,1.0
96,9,2,0.0,0.99996
96,9,3,0.0,1.0
96,9,4,0.0,0.99996
96,9,5,0.0,1.0
96,9,6,0.0,0.99988
96,9,7,0.0,1.0
96,9,8,0.0,0.9998799999999999
96,9,9,0.0,0.9997999999999999
96,9,10,0.0,0.99968
96,9,11,0.0,0.9994
96,9,12,0.0,0.9991599999999999
96,9,13,0.0,0.9987199999999997
96,9,14,0.0,0.9986799999999999
96,9,15,0.0,0.9975999999999996
96,9,16,0.0,0.9973599999999999
96,9,17,0.0,0.9955199999999997
96,9,18,0.0,0.9943599999999999
96,9,19,0.0,0.9926799999999995
96,9,20,0.0,0.9905200000000002
96,9,21,0.0,0.98516
96,9,22,0.0,0.9823999999999995
96,9,23,0.0,0.9764399999999996
96,9,24,0.0,0.9707200000000001
96,9,25,0.0,0.9616000000000002
96,9,26,0.0,0.9567200000000001
96,9,27,0.0,0.9421599999999999
96,9,28,0.0,0.9330000000000003
96,9,29,0.0,0.9210799999999998
96,9,30,0.0,0.90104
96,9,31,0.0,0.8899600000000004
96,9,32,0.0,0.8702399999999999
96,9,33,0.0,0.8523599999999998
96,9,34,0.0,0.8294399999999996
96,9,35,0.0,0.7994799999999997
96,9,36,0.0,0.7738
96,9,37,0.0,0.7532
96,9,38,0.0,0.726
96,9,39,0.0,0.6998799999999998
96,9,40,0.0,0.6679200000000001
96,9,41,0.0,0.6308400000000001
96,9,42,0.0,0.60144
96,9,43,0.0,0.5742399999999999
96,9,44,0.0,0.53692
96,9,45,0.0,0.5109600000000001
96,9,46,0.0,0.48071999999999987
96,9,47,0.0,0.4490400000000001
96,11,0,0.0,1.0
