Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
28.699999999999918,0.877146,0.000792,0.205975
28.74999999999992,0.876727,0.000792,0.209356
28.79999999999992,0.876307,0.000792,0.212663
28.84999999999992,0.875886,0.000792,0.216161
28.89999999999992,0.875465,0.000792,0.219514
28.949999999999918,0.875042,0.000693,0.22313
28.99999999999992,0.87462,0.000693,0.226514
29.04999999999992,0.874196,0.000693,0.230006
29.099999999999916,0.873772,0.000693,0.233467
29.149999999999917,0.873347,0.000693,0.237173
29.199999999999918,0.872922,0.000594,0.240783
29.24999999999992,0.872496,0.000594,0.244362
29.29999999999992,0.872069,0.000495,0.248108
29.349999999999916,0.871642,0.000495,0.252
29.399999999999917,0.871214,0.000396,0.255814
29.449999999999918,0.870785,0.000396,0.2597
29.499999999999915,0.870356,0.000396,0.263415
29.549999999999915,0.869926,0.000396,0.26704
29.599999999999916,0.869495,0.000396,0.270938
29.649999999999917,0.869064,0.000396,0.274947
29.699999999999918,0.868632,0.000297,0.27891
29.749999999999915,0.868199,0.000297,0.283102
29.799999999999915,0.867765,0.000297,0.287248
29.849999999999916,0.867331,0.000297,0.291433
29.899999999999913,0.866897,0.000297,0.29556
29.949999999999914,0.866461,0.000297,0.29957
29.999999999999915,0.866025,0.000297,0.303768
30.049999999999915,0.865589,0.000297,0.307892
30.099999999999916,0.865151,0.000297,0.311817
30.149999999999913,0.864713,0.000297,0.315957
30.199999999999914,0.864275,0.000198,0.320282
30.249999999999915,0.863836,9.9e-05,0.324464
30.299999999999912,0.863396,9.9e-05,0.328861
30.349999999999913,0.862955,9.9e-05,0.333062
30.399999999999913,0.862514,9.9e-05,0.33757
30.449999999999914,0.862072,9.9e-05,0.341814
30.499999999999915,0.861629,9.9e-05,0.346214
30.549999999999912,0.861186,9.9e-05,0.350693
30.599999999999913,0.860742,9.9e-05,0.355198
30.649999999999913,0.860297,9.9e-05,0.359533
30.69999999999991,0.859852,9.9e-05,0.364111
30.74999999999991,0.859406,9.9e-05,0.368467
30.799999999999912,0.85896,9.9e-05,0.373176
30.849999999999913,0.858513,9.9e-05,0.377842
30.899999999999913,0.858065,9.9e-05,0.382585
30.94999999999991,0.857616,9.9e-05,0.387341
30.99999999999991,0.857167,9.9e-05,0.39204
31.049999999999912,0.856718,9.9e-05,0.396752
31.09999999999991,0.856267,9.9e-05,0.401483
31.14999999999991,0.855816,9.9e-05,0.406266
31.19999999999991,0.855364,9.9e-05,0.41092
31.24999999999991,0.854912,9.9e-05,0.415814
31.299999999999912,0.854459,9.9e-05,0.420666
31.34999999999991,0.854005,9.9e-05,0.425514
31.39999999999991,0.853551,9.9e-05,0.430269
31.44999999999991,0.853096,9.9e-05,0.435176
31.499999999999908,0.85264,9.9e-05,0.440229
31.54999999999991,0.852184,9.9e-05,0.445334
31.59999999999991,0.851727,9.9e-05,0.45044
31.64999999999991,0.851269,9.9e-05,0.455452
31.69999999999991,0.850811,9.9e-05,0.460062
31.749999999999908,0.850352,9.9e-05,0.464963
31.79999999999991,0.849893,9.9e-05,0.469944
31.84999999999991,0.849433,9.9e-05,0.475046
31.899999999999906,0.848972,9.9e-05,0.48022
31.949999999999907,0.84851,9.9e-05,0.485226
31.999999999999908,0.848048,9.9e-05,0.490164
32.04999999999991,0.847585,9.9e-05,0.495341
32.09999999999991,0.847122,9.9e-05,0.500353
32.149999999999906,0.846658,9.9e-05,0.50518
32.1999999999999,0.846193,9.9e-05,0.510276
32.24999999999991,0.845728,9.9e-05,0.515446
32.299999999999905,0.845262,9.9e-05,0.520616
32.34999999999991,0.844795,9.9e-05,0.525607
32.399999999999906,0.844328,9.9e-05,0.530607
32.4499999999999,0.84386,9.9e-05,0.53557
32.49999999999991,0.843391,9.9e-05,0.540675
32.549999999999905,0.842922,9.9e-05,0.545867
32.59999999999991,0.842452,9.9e-05,0.55108
32.649999999999906,0.841982,9.9e-05,0.556285
32.6999999999999,0.841511,9.9e-05,0.561563
32.7499999999999,0.841039,9.9e-05,0.566796
32.799999999999905,0.840567,9.9e-05,0.571966
32.84999999999991,0.840094,9.9e-05,0.577263
32.899999999999906,0.83962,9.9e-05,0.5823
32.9499999999999,0.839146,9.9e-05,0.587505
32.9999999999999,0.838671,9.9e-05,0.592706
33.049999999999905,0.838195,9.9e-05,0.597684
33.0999999999999,0.837719,9.9e-05,0.602814
33.149999999999906,0.837242,9.9e-05,0.607873
33.1999999999999,0.836764,9.9e-05,0.613025
33.2499999999999,0.836286,9.9e-05,0.618269
33.299999999999905,0.835807,9.9e-05,0.623545
33.3499999999999,0.835328,9.9e-05,0.628477
33.399999999999906,0.834848,9.9e-05,0.633533
33.4499999999999,0.834367,9.9e-05,0.638402
33.4999999999999,0.833886,9.9e-05,0.64335
33.5499999999999,0.833404,9.9e-05,0.648229
33.5999999999999,0.832921,9.9e-05,0.653214
33.649999999999906,0.832438,9.9e-05,0.658288
33.6999999999999,0.831954,9.9e-05,0.663201
33.7499999999999,0.83147,9.9e-05,0.667954
33.7999999999999,0.830984,9.9e-05,0.672697
33.8499999999999,0.830499,9.9e-05,0.677811
33.8999999999999,0.830012,9.9e-05,0.682724
33.9499999999999,0.829525,9.9e-05,0.687721
33.9999999999999,0.829038,9.9e-05,0.692427
34.0499999999999,0.828549,9.9e-05,0.697263
34.0999999999999,0.82806,9.9e-05,0.702056
34.1499999999999,0.827571,9.9e-05,0.706997
34.1999999999999,0.827081,9.9e-05,0.711675
34.2499999999999,0.82659,9.9e-05,0.716375
34.2999999999999,0.826098,9.9e-05,0.721065
34.349999999999895,0.825606,9.9e-05,0.725458
34.3999999999999,0.825113,9.9e-05,0.73004
34.4499999999999,0.82462,9.9e-05,0.734471
34.4999999999999,0.824126,9.9e-05,0.739149
34.5499999999999,0.823632,0.0,0.743604
34.599999999999895,0.823136,0.0,0.748025
34.6499999999999,0.822641,0.0,0.752291
34.699999999999896,0.822144,0.0,0.756644
34.7499999999999,0.821647,0.0,0.761071
34.7999999999999,0.821149,0.0,0.765449
34.849999999999895,0.820651,0.0,0.769765
34.8999999999999,0.820152,0.0,0.77391
34.949999999999896,0.819652,0.0,0.778006
34.9999999999999,0.819152,0.0,0.782232
35.0499999999999,0.818651,0.0,0.786393
